Day,Time,Session topic,icon,link
Day 1,9:30,Arrival. Coffee and snacks,mug-hot,
Day 1,10:00,Introduction to the course,person-chalkboard,../sessions/introduction.html
Day 1,10:30,Management of R projects (with short break),laptop-code,../sessions/project-management.html
Day 1,12:30,Lunch,utensils,
Day 1,13:15,Networking and social activity,user-group,../appendix/social.qmd#social-day-one
Day 1,13:35,Version control and collaborative practices,laptop-code,../sessions/version-control.html
Day 1,14:30,Break with coffee and snacks,mug-hot,
Day 1,15:30,Version control and collaborative practices,laptop-code,../sessions/version-control.html
Day 1,17:00,End-of-day short survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSdhvOl7ifRIQouuv4jZVldJTcyrCTy935PTnTUlCsoF9WA_zA/viewform?usp=sf_link
Day 2,9:00,Data management and wrangling,laptop-code,../sessions/data-management.html
Day 2,10:15,"Break with coffee, tea, and snacks",mug-hot,
Day 2,10:30,Data management and wrangling (with short break),laptop-code,../sessions/data-management.html
Day 2,12:15,Lunch,utensils,
Day 2,13:00,Networking and social activity,user-group,../appendix/social.qmd#social-day-two
Day 2,13:20,Creating reproducible documents,laptop-code,../sessions/reproducible-documents.html
Day 2,14:45,Break with coffee and snacks,mug-hot,
Day 2,15:00,Creating reproducible documents,laptop-code,../sessions/reproducible-documents.html
Day 2,17:00,End-of-day short survey,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSdhvOl7ifRIQouuv4jZVldJTcyrCTy935PTnTUlCsoF9WA_zA/viewform?usp=sf_link
Day 3,9:00,Data visualizations,laptop-code,../sessions/data-visualization.html
Day 3,10:15,Break with coffee and snacks,mug-hot,
Day 3,10:30,Data visualizations (with short break),laptop-code,../sessions/data-visualization.html
Day 3,12:15,Lunch,utensils,
Day 3,13:00,Group work (with break),user-group,../appendix/assignment.html
Day 3,16:00,Testing reproducibility of projects,user-group,
Day 3,16:20,Closing remarks,person-chalkboard,../sessions/what-next.html
Day 3,16:45,Short survey and farewell,comment-dots,https://docs.google.com/forms/d/e/1FAIpQLSdhvOl7ifRIQouuv4jZVldJTcyrCTy935PTnTUlCsoF9WA_zA/viewform?usp=sf_link
